Country,Imports_tonnes,Coffee_kg_per_capita
United States,1431000,4.17
Brazil,1061000,5.03
Philippines,489000,4.26
Germany,449000,5.31
Vietnam,387000,3.86
Italy,363000,6.11
France,346000,5.21
United Kingdom,343000,4.99
Hong Kong,322000,43.23
China,300000,0.21
Ethiopia,295000,2.30
Canada,269000,6.84
Russia,186000,1.28
Saudi Arabia,179000,5.39
Spain,174000,3.64
Laos,173000,22.59
Peru,172000,5.09
Romania,166000,8.68
Turkey,159000,1.82
Australia,155000,5.88
Guinea,144000,9.97
South Korea,133000,2.58
Argentina,115000,2.51
Sweden,115000,10.90
Mexico,107000,0.83
Ukraine,106000,2.81
Greece,102000,9.96
Jordan,87000,7.57
Poland,83000,2.13
Kazakhstan,83000,4.10
Serbia,82000,12.15
Ireland,82000,15.79
Indonesia,78000,0.28
Colombia,75000,1.44
Lebanon,75000,12.91
Belgium,74000,6.30
Netherlands,72000,3.99
Bulgaria,72000,10.63
Denmark,69000,11.68
New Zealand,66000,12.81
South Africa,64000,1.01
Egypt,63000,0.55
Algeria,63000,1.36
Guatemala,62000,3.43
Finland,60000,10.76
Venezuela,59000,2.09
Iran,58000,0.64
Portugal,58000,5.60
Norway,58000,10.58
Slovakia,58000,10.57
Switzerland,57000,6.43
DR Congo,56000,0.53
Austria,56000,6.18
Thailand,50000,0.69
Madagascar,48000,1.54
Georgia,48000,12.52
Morocco,45000,1.19
Bosnia and Herzegovina,45000,14.26
Taiwan,44000,1.90
Honduras,43000,4.05
Libya,43000,5.94
Dominican Republic,41000,3.63
Lithuania,38000,13.40
Papua New Guinea,37000,3.59
Croatia,36000,9.16
Cambodia,35000,2.03
Uzbekistan,34000,0.97
Israel,33000,3.59
Costa Rica,31000,6.10
Iraq,30000,0.79
Yemen,29000,0.73
Qatar,29000,9.80
Chile,28000,1.41
Kuwait,28000,5.81
Myanmar,27000,0.51
Bolivia,27000,2.22
Nigeria,26000,0.12
Moldova,25000,9.69
Armenia,24000,8.25
Tunisia,23000,1.87
Kyrgyzstan,23000,3.31
Latvia,23000,12.17
Azerbaijan,22000,2.15
Slovenia,22000,10.43
Syria,21000,0.87
Czechia,21000,1.95
Estonia,21000,15.68
Angola,20000,0.55
Panama,20000,4.41
Hungary,19000,1.94
Oman,19000,3.80
North Macedonia,19000,10.13
Timor-Leste,17000,12.58
El Salvador,16000,2.50
Cyprus,16000,12.05
Senegal,14000,0.79
Cameroon,13000,0.46
Luxembourg,13000,18.98
Belarus,12000,1.36
Macau,12000,16.83
Maldives,11000,20.72
Kenya,10000,0.19
Malawi,10000,0.49
Mongolia,10000,3.00
Albania,10000,3.56
Bahrain,10000,6.66
Jamaica,9000,3.09
Solomon Islands,9000,11.59
Uruguay,8000,2.45
Guyana,8000,9.61
Uganda,7000,0.15
Burkina Faso,7000,0.29
Rwanda,7000,0.48
United Arab Emirates,7000,0.64
Namibia,7000,2.39
Fiji,7000,7.73
Trinidad and Tobago,6000,3.76
Mauritius,6000,4.40
Montenegro,6000,9.02
Malta,6000,10.96
Bangladesh,5000,0.03
Sri Lanka,5000,0.23
Haiti,5000,0.41
Turkmenistan,4000,0.49
Paraguay,4000,0.60
Liberia,4000,0.80
Botswana,4000,1.61
New Caledonia,4000,12.22
French Polynesia,4000,12.89
India,3000,
Mozambique,3000,0.08
