Country,Imports_tonnes,Coffee_kg_per_capita,id
United States,1431000,4.17,840.0
Brazil,1061000,5.03,76.0
Philippines,489000,4.26,608.0
Germany,449000,5.31,276.0
Vietnam,387000,3.86,704.0
Italy,363000,6.11,380.0
France,346000,5.21,250.0
United Kingdom,343000,4.99,826.0
Hong Kong,322000,43.23,344.0
China,300000,0.21,156.0
Ethiopia,295000,2.3,231.0
Canada,269000,6.84,124.0
Russia,186000,1.28,643.0
Saudi Arabia,179000,5.39,682.0
Spain,174000,3.64,724.0
Laos,173000,22.59,418.0
Peru,172000,5.09,604.0
Romania,166000,8.68,642.0
Turkey,159000,1.82,792.0
Australia,155000,5.88,36.0
Guinea,144000,9.97,324.0
South Korea,133000,2.58,410.0
Argentina,115000,2.51,32.0
Sweden,115000,10.9,752.0
Mexico,107000,0.83,484.0
Ukraine,106000,2.81,804.0
Greece,102000,9.96,300.0
Jordan,87000,7.57,400.0
Poland,83000,2.13,616.0
Kazakhstan,83000,4.1,398.0
Serbia,82000,12.15,688.0
Ireland,82000,15.79,372.0
Indonesia,78000,0.28,360.0
Colombia,75000,1.44,170.0
Lebanon,75000,12.91,422.0
Belgium,74000,6.3,56.0
Netherlands,72000,3.99,528.0
Bulgaria,72000,10.63,100.0
Denmark,69000,11.68,208.0
New Zealand,66000,12.81,554.0
South Africa,64000,1.01,710.0
Egypt,63000,0.55,818.0
Algeria,63000,1.36,12.0
Guatemala,62000,3.43,320.0
Finland,60000,10.76,246.0
Venezuela,59000,2.09,862.0
Iran,58000,0.64,
Portugal,58000,5.6,620.0
Norway,58000,10.58,578.0
Slovakia,58000,10.57,703.0
Switzerland,57000,6.43,756.0
DR Congo,56000,0.53,
Austria,56000,6.18,40.0
Thailand,50000,0.69,764.0
Madagascar,48000,1.54,450.0
Georgia,48000,12.52,268.0
Morocco,45000,1.19,504.0
Bosnia and Herzegovina,45000,14.26,70.0
Taiwan,44000,1.9,158.0
Honduras,43000,4.05,340.0
Libya,43000,5.94,434.0
Dominican Republic,41000,3.63,214.0
Lithuania,38000,13.4,440.0
Papua New Guinea,37000,3.59,598.0
Croatia,36000,9.16,191.0
Cambodia,35000,2.03,116.0
Uzbekistan,34000,0.97,860.0
Israel,33000,3.59,376.0
Costa Rica,31000,6.1,188.0
Iraq,30000,0.79,368.0
Yemen,29000,0.73,887.0
Qatar,29000,9.8,634.0
Chile,28000,1.41,152.0
Kuwait,28000,5.81,414.0
Myanmar,27000,0.51,104.0
Bolivia,27000,2.22,68.0
Nigeria,26000,0.12,566.0
Moldova,25000,9.69,498.0
Armenia,24000,8.25,51.0
Tunisia,23000,1.87,788.0
Kyrgyzstan,23000,3.31,417.0
Latvia,23000,12.17,428.0
Azerbaijan,22000,2.15,31.0
Slovenia,22000,10.43,705.0
Syria,21000,0.87,
Czechia,21000,1.95,203.0
Estonia,21000,15.68,233.0
Angola,20000,0.55,24.0
Panama,20000,4.41,591.0
Hungary,19000,1.94,348.0
Oman,19000,3.8,512.0
North Macedonia,19000,10.13,807.0
Timor-Leste,17000,12.58,626.0
El Salvador,16000,2.5,222.0
Cyprus,16000,12.05,196.0
Senegal,14000,0.79,686.0
Cameroon,13000,0.46,120.0
Luxembourg,13000,18.98,442.0
Belarus,12000,1.36,112.0
Macau,12000,16.83,
Maldives,11000,20.72,462.0
Kenya,10000,0.19,404.0
Malawi,10000,0.49,454.0
Mongolia,10000,3.0,496.0
Albania,10000,3.56,8.0
Bahrain,10000,6.66,48.0
Jamaica,9000,3.09,388.0
Solomon Islands,9000,11.59,90.0
Uruguay,8000,2.45,858.0
Guyana,8000,9.61,328.0
Uganda,7000,0.15,800.0
Burkina Faso,7000,0.29,854.0
Rwanda,7000,0.48,646.0
United Arab Emirates,7000,0.64,784.0
Namibia,7000,2.39,516.0
Fiji,7000,7.73,242.0
Trinidad and Tobago,6000,3.76,780.0
Mauritius,6000,4.4,480.0
Montenegro,6000,9.02,499.0
Malta,6000,10.96,470.0
Bangladesh,5000,0.03,50.0
Sri Lanka,5000,0.23,144.0
Haiti,5000,0.41,332.0
Turkmenistan,4000,0.49,795.0
Paraguay,4000,0.6,600.0
Liberia,4000,0.8,430.0
Botswana,4000,1.61,72.0
New Caledonia,4000,12.22,540.0
French Polynesia,4000,12.89,258.0
India,3000,,356.0
Mozambique,3000,0.08,508.0
