Country,Year,Export_tonnes
Angola,1990,5040.0
Bolivia (Plurinational State of),1990,9360.0
Brazil,1990,1016160.0
Burundi,1990,35100.0
Cameroon,1990,156660.0
Central African Republic,1990,11820.0
Colombia,1990,836640.0
Congo,1990,120.0
Costa Rica,1990,135960.0
Côte d'Ivoire,1990,256980.0
Cuba,1990,10920.0
Democratic Republic of Congo,1990,110340.0
Dominican Republic,1990,32100.0
Ecuador,1990,107040.0
El Salvador,1990,150600.0
Equatorial Guinea,1990,420.0
Ethiopia,1990,64440.0
Gabon,1990,120.0
Ghana,1990,660.0
Guatemala,1990,194400.0
Guinea,1990,7320.0
Haiti,1990,11460.0
Honduras,1990,104100.0
India,1990,118740.0
Indonesia,1990,414180.0
Jamaica,1990,900.0
Kenya,1990,118140.0
Lao People's Democratic Republic,1990,5880.0
Liberia,1990,1320.0
Madagascar,1990,51780.0
Malawi,1990,7440.0
Mexico,1990,220980.0
Nicaragua,1990,40260.0
Nigeria,1990,240.0
Panama,1990,7920.0
Papua New Guinea,1990,63060.0
Paraguay,1990,15780.0
Peru,1990,66300.0
Philippines,1990,10080.0
Rwanda,1990,46740.0
Sierra Leone,1990,8400.0
Sri Lanka,1990,1140.0
Tanzania,1990,61140.0
Thailand,1990,60060.0
Togo,1990,14340.0
Trinidad & Tobago,1990,1800.0
Uganda,1990,141180.0
Venezuela,1990,16680.0
Viet Nam,1990,68700.0
Yemen,1990,3000.0
Zambia,1990,1440.0
Zimbabwe,1990,15060.0
Angola,1991,4260.0
Bolivia (Plurinational State of),1991,4440.0
Brazil,1991,1270980.0
Burundi,1991,41280.0
Cameroon,1991,105120.0
Central African Republic,1991,8460.0
Colombia,1991,755940.0
Congo,1991,60.0
Costa Rica,1991,144000.0
Côte d'Ivoire,1991,228300.0
Cuba,1991,7260.0
Democratic Republic of Congo,1991,85080.0
Dominican Republic,1991,28560.0
Ecuador,1991,84960.0
El Salvador,1991,128880.0
Equatorial Guinea,1991,180.0
Ethiopia,1991,50460.0
Gabon,1991,180.0
Ghana,1991,960.0
Guatemala,1991,169920.0
Guinea,1991,3660.0
Haiti,1991,9060.0
Honduras,1991,86640.0
India,1991,103620.0
Indonesia,1991,370260.0
Jamaica,1991,1020.0
Kenya,1991,93480.0
Lao People's Democratic Republic,1991,5880.0
Madagascar,1991,35280.0
Malawi,1991,6000.0
Mexico,1991,211860.0
Nicaragua,1991,23520.0
Nigeria,1991,60.0
Panama,1991,7440.0
Papua New Guinea,1991,47280.0
Paraguay,1991,7200.0
Peru,1991,62520.0
Philippines,1991,6180.0
Rwanda,1991,28440.0
Sierra Leone,1991,6240.0
Sri Lanka,1991,1320.0
Tanzania,1991,52260.0
Thailand,1991,32460.0
Togo,1991,9300.0
Trinidad & Tobago,1991,480.0
Uganda,1991,125700.0
Venezuela,1991,7680.0
Viet Nam,1991,72060.0
Yemen,1991,4320.0
Zambia,1991,1740.0
Zimbabwe,1991,14340.0
Angola,1992,4800.0
Bolivia (Plurinational State of),1992,5760.0
Brazil,1992,1127460.0
Burundi,1992,38760.0
Cameroon,1992,98760.0
Central African Republic,1992,6000.0
Colombia,1992,993840.0
Costa Rica,1992,145860.0
Côte d'Ivoire,1992,272760.0
Cuba,1992,9780.0
Democratic Republic of Congo,1992,57240.0
Dominican Republic,1992,22140.0
Ecuador,1992,76380.0
El Salvador,1992,127200.0
Equatorial Guinea,1992,180.0
Ethiopia,1992,44040.0
Gabon,1992,60.0
Ghana,1992,1920.0
Guatemala,1992,199680.0
Guinea,1992,3480.0
Guyana,1992,60.0
Haiti,1992,9960.0
Honduras,1992,117600.0
India,1992,108960.0
Indonesia,1992,276240.0
Jamaica,1992,1320.0
Kenya,1992,83040.0
Lao People's Democratic Republic,1992,6120.0
Madagascar,1992,44160.0
Malawi,1992,7680.0
Mexico,1992,199920.0
Nicaragua,1992,38160.0
Nigeria,1992,660.0
Panama,1992,7500.0
Papua New Guinea,1992,55020.0
Paraguay,1992,2400.0
Peru,1992,63660.0
Philippines,1992,2460.0
Rwanda,1992,38700.0
Sierra Leone,1992,2820.0
Sri Lanka,1992,900.0
Tanzania,1992,49680.0
Thailand,1992,69840.0
Togo,1992,18780.0
Trinidad & Tobago,1992,120.0
Uganda,1992,117660.0
Venezuela,1992,8160.0
Viet Nam,1992,116280.0
Yemen,1992,2220.0
Zambia,1992,1860.0
Zimbabwe,1992,9720.0
Angola,1993,2340.0
Bolivia (Plurinational State of),1993,2820.0
Brazil,1993,1070280.0
Burundi,1993,25080.0
Cameroon,1993,42300.0
Central African Republic,1993,8220.0
Colombia,1993,814080.0
Congo,1993,60.0
Costa Rica,1993,141840.0
Côte d'Ivoire,1993,241980.0
Cuba,1993,6960.0
Democratic Republic of Congo,1993,55200.0
Dominican Republic,1993,19860.0
Ecuador,1993,95940.0
El Salvador,1993,176820.0
Equatorial Guinea,1993,120.0
Ethiopia,1993,70020.0
Gabon,1993,120.0
Ghana,1993,2820.0
Guatemala,1993,225060.0
Guinea,1993,900.0
Haiti,1993,9540.0
Honduras,1993,102300.0
India,1993,126120.0
Indonesia,1993,339720.0
Jamaica,1993,1440.0
Kenya,1993,86340.0
Lao People's Democratic Republic,1993,8520.0
Madagascar,1993,37680.0
Malawi,1993,6240.0
Mexico,1993,195840.0
Nicaragua,1993,28560.0
Nigeria,1993,600.0
Panama,1993,7740.0
Papua New Guinea,1993,63300.0
Paraguay,1993,3480.0
