Country,Year,Import_tonnes
Austria,1990,112800.0
Belgium/Luxembourg,1990,120900.0
Bulgaria,1990,16080.0
Cyprus,1990,3000.0
Czechia,1990,39540.0
Denmark,1990,57540.0
Finland,1990,65700.0
France,1990,378060.0
Germany,1990,820260.0
Greece,1990,38520.0
Hungary,1990,34440.0
Ireland,1990,7740.0
Italy,1990,314520.0
Malta,1990,1260.0
Netherlands,1990,187680.0
Poland,1990,26100.0
Portugal,1990,33120.0
Romania,1990,26520.0
Spain,1990,183180.0
Sweden,1990,106020.0
Japan,1990,319800.0
Norway,1990,44520.0
Switzerland,1990,70260.0
Tunisia,1990,6060.0
United Kingdom,1990,173880.0
United States of America,1990,1260420.0
Austria,1991,123480.0
Belgium/Luxembourg,1991,104760.0
Bulgaria,1991,12000.0
Cyprus,1991,3240.0
Czechia,1991,31500.0
Denmark,1991,58980.0
Finland,1991,61980.0
France,1991,393180.0
Germany,1991,793740.0
Greece,1991,24420.0
Hungary,1991,38460.0
Ireland,1991,7080.0
Italy,1991,277800.0
Malta,1991,960.0
Netherlands,1991,187260.0
Poland,1991,15000.0
Portugal,1991,33420.0
Romania,1991,20100.0
Spain,1991,178200.0
Sweden,1991,103020.0
Japan,1991,330600.0
Norway,1991,45660.0
Switzerland,1991,67800.0
Tunisia,1991,5400.0
United Kingdom,1991,168360.0
United States of America,1991,1190400.0
Austria,1992,132360.0
Belgium/Luxembourg,1992,109680.0
Bulgaria,1992,10920.0
Croatia,1992,10080.0
Cyprus,1992,2460.0
Czechia,1992,28500.0
Denmark,1992,63720.0
Estonia,1992,960.0
Finland,1992,63300.0
France,1992,396720.0
Germany,1992,827340.0
Greece,1992,20940.0
Hungary,1992,31320.0
Ireland,1992,5700.0
Italy,1992,275700.0
Latvia,1992,1200.0
Lithuania,1992,120.0
Malta,1992,1080.0
Netherlands,1992,192300.0
Poland,1992,107220.0
Portugal,1992,35460.0
Romania,1992,36180.0
Slovenia,1992,7380.0
Spain,1992,204840.0
Sweden,1992,106320.0
Japan,1992,319560.0
Norway,1992,44340.0
Russian Federation,1992,82920.0
Switzerland,1992,66060.0
Tunisia,1992,6660.0
United Kingdom,1992,185280.0
United States of America,1992,1376340.0
Austria,1993,110160.0
Belgium/Luxembourg,1993,123780.0
Bulgaria,1993,23820.0
Croatia,1993,9780.0
Cyprus,1993,4620.0
Czechia,1993,30840.0
Denmark,1993,59640.0
Estonia,1993,3060.0
Finland,1993,78060.0
France,1993,380040.0
Germany,1993,846420.0
Greece,1993,22500.0
Hungary,1993,40080.0
Ireland,1993,6660.0
Italy,1993,335640.0
Latvia,1993,3600.0
Lithuania,1993,540.0
Malta,1993,1380.0
Netherlands,1993,168240.0
Poland,1993,100200.0
Portugal,1993,39960.0
Romania,1993,25500.0
Slovakia,1993,17280.0
Slovenia,1993,9120.0
Spain,1993,168780.0
Sweden,1993,105420.0
Japan,1993,341460.0
Norway,1993,41580.0
Russian Federation,1993,107700.0
Switzerland,1993,63600.0
Tunisia,1993,6060.0
United Kingdom,1993,191820.0
United States of America,1993,1159740.0
Austria,1994,85020.0
Belgium/Luxembourg,1994,135720.0
Bulgaria,1994,27780.0
Croatia,1994,11580.0
Cyprus,1994,3120.0
Czechia,1994,33240.0
Denmark,1994,61980.0
Estonia,1994,4980.0
Finland,1994,81660.0
France,1994,382140.0
Germany,1994,814980.0
Greece,1994,30120.0
Hungary,1994,46260.0
Ireland,1994,7860.0
Italy,1994,333240.0
Latvia,1994,1380.0
Lithuania,1994,2820.0
Malta,1994,780.0
Netherlands,1994,168000.0
Poland,1994,110580.0
Portugal,1994,39840.0
Romania,1994,20820.0
Slovakia,1994,15420.0
Slovenia,1994,9540.0
Spain,1994,181680.0
Sweden,1994,113580.0
Japan,1994,373020.0
Norway,1994,48360.0
Russian Federation,1994,103560.0
Switzerland,1994,65940.0
Tunisia,1994,8220.0
United Kingdom,1994,207960.0
United States of America,1994,970260.0
Austria,1995,73860.0
Belgium/Luxembourg,1995,144060.0
Bulgaria,1995,30900.0
Croatia,1995,19200.0
Cyprus,1995,2640.0
Czechia,1995,33180.0
Denmark,1995,52620.0
Estonia,1995,6420.0
Finland,1995,46140.0
France,1995,372840.0
Germany,1995,771120.0
Greece,1995,31380.0
Hungary,1995,31200.0
Ireland,1995,6900.0
Italy,1995,323280.0
Latvia,1995,1800.0
Lithuania,1995,6780.0
Malta,1995,1380.0
Netherlands,1995,174600.0
Poland,1995,106260.0
Portugal,1995,37980.0
Romania,1995,33060.0
Slovakia,1995,15000.0
Slovenia,1995,8880.0
Spain,1995,188760.0
Sweden,1995,85200.0
Japan,1995,329340.0
Norway,1995,39720.0
Russian Federation,1995,103680.0
Switzerland,1995,61020.0
Tunisia,1995,8220.0
United Kingdom,1995,168420.0
United States of America,1995,1026420.0
Austria,1996,72600.0
Belgium/Luxembourg,1996,151560.0
Bulgaria,1996,16320.0
Croatia,1996,19320.0
Cyprus,1996,3120.0
Czechia,1996,31500.0
Denmark,1996,60360.0
Estonia,1996,7020.0
Finland,1996,59520.0
France,1996,399600.0
Germany,1996,810420.0
Greece,1996,45960.0
Hungary,1996,36180.0
Ireland,1996,5880.0
Italy,1996,336480.0
Latvia,1996,3960.0
Lithuania,1996,9000.0
Malta,1996,540.0
Netherlands,1996,185040.0
Poland,1996,115440.0
Portugal,1996,44580.0
Romania,1996,41820.0
Slovakia,1996,15660.0
Slovenia,1996,10500.0
Spain,1996,210900.0
Sweden,1996,91320.0
Japan,1996,359640.0
Norway,1996,43200.0
Russian Federation,1996,67680.0
Switzerland,1996,66720.0
Tunisia,1996,8640.0
United Kingdom,1996,174180.0
United States of America,1996,1166700.0
Austria,1997,77640.0
Belgium/Luxembourg,1997,152640.0
Bulgaria,1997,17640.0
Croatia,1997,23100.0
Cyprus,1997,2460.0
Czechia,1997,33600.0
Denmark,1997,56940.0
Estonia,1997,8460.0
Finland,1997,71160.0
France,1997,402240.0
Germany,1997,834300.0
Greece,1997,47340.0
Hungary,1997,40500.0
Ireland,1997,6360.0
Italy,1997,344580.0
Latvia,1997,8640.0
Lithuania,1997,11220.0
Malta,1997,540.0
Netherlands,1997,175440.0
Poland,1997,135180.0
Portugal,1997,43620.0
Romania,1997,37860.0
Slovakia,1997,15180.0
Slovenia,1997,10260.0
Spain,1997,226620.0
Sweden,1997,88380.0
Japan,1997,355260.0
Norway,1997,41040.0
Russian Federation,1997,131100.0
Switzerland,1997,58260.0
Tunisia,1997,9900.0
United Kingdom,1997,175740.0
United States of America,1997,1220580.0
Austria,1998,77580.0
Belgium/Luxembourg,1998,214800.0
Bulgaria,1998,20520.0
Croatia,1998,20340.0
Cyprus,1998,3000.0
Czechia,1998,45900.0
Denmark,1998,60840.0
Estonia,1998,8100.0
Finland,1998,70080.0
France,1998,394560.0
Germany,1998,824400.0
Greece,1998,42240.0
Hungary,1998,42960.0
Ireland,1998,6120.0
Italy,1998,353340.0
Latvia,1998,9540.0
Lithuania,1998,11100.0
Malta,1998,600.0
Netherlands,1998,171720.0
Poland,1998,137580.0
Portugal,1998,45720.0
Romania,1998,35700.0
Slovakia,1998,15540.0
Slovenia,1998,10440.0
Spain,1998,223080.0
Sweden,1998,86400.0
Japan,1998,361620.0
Norway,1998,42420.0
Russian Federation,1998,103920.0
Switzerland,1998,66720.0
Tunisia,1998,8820.0
United Kingdom,1998,188520.0
United States of America,1998,1261800.0
Austria,1999,90000.0
Belgium,1999,180180.0
Bulgaria,1999,22020.0
Croatia,1999,21120.0
Cyprus,1999,3300.0
Czechia,1999,43680.0
Denmark,1999,65640.0
Estonia,1999,7860.0
Finland,1999,72540.0
France,1999,400560.0
Germany,1999,859200.0
Greece,1999,43980.0
Hungary,1999,45720.0
Ireland,1999,8520.0
Italy,1999,356580.0
Latvia,1999,10980.0
Lithuania,1999,12360.0
Luxembourg,1999,8700.0
Malta,1999,540.0
Netherlands,1999,153960.0
Poland,1999,144240.0
Portugal,1999,49020.0
Romania,1999,30660.0
Slovakia,1999,16140.0
Slovenia,1999,10920.0
Spain,1999,239160.0
Sweden,1999,87360.0
Japan,1999,392820.0
Norway,1999,47400.0
Russian Federation,1999,82080.0
Switzerland,1999,68340.0
Tunisia,1999,11160.0
United Kingdom,1999,174420.0
United States of America,1999,1364760.0
Austria,2000,75420.0
Belgium,2000,209460.0
Bulgaria,2000,16860.0
Croatia,2000,20640.0
Cyprus,2000,4140.0
Czechia,2000,48540.0
Denmark,2000,61320.0
Estonia,2000,6300.0
Finland,2000,63780.0
France,2000,391200.0
Germany,2000,833700.0
Greece,2000,47880.0
Hungary,2000,47400.0
Ireland,2000,9300.0
Italy,2000,378900.0
Latvia,2000,10860.0
Lithuania,2000,12780.0
Luxembourg,2000,13920.0
Malta,2000,540.0
Netherlands,2000,177960.0
Poland,2000,154560.0
Portugal,2000,48660.0
Romania,2000,33120.0
Slovakia,2000,17160.0
Slovenia,2000,11220.0
Spain,2000,226080.0
Sweden,2000,80640.0
Japan,2000,414480.0
Norway,2000,39720.0
Russian Federation,2000,113400.0
Switzerland,2000,70260.0
Tunisia,2000,11520.0
United Kingdom,2000,180720.0
United States of America,2000,1426020.0
Austria,2001,85920.0
Belgium,2001,192540.0
Bulgaria,2001,21300.0
Croatia,2001,21120.0
Cyprus,2001,3540.0
