Country,Year,Production_tonnes,Export_tonnes
Brazil,1990,1637160.0,1016160.0
Brazil,1995,1083600.0,868080.0
Brazil,2000,1878600.0,1080960.0
Brazil,2005,1975980.0,1571880.0
Brazil,2010,3325680.0,1990020.0
Colombia,1990,863760.0,836640.0
Colombia,1995,776280.0,588840.0
Colombia,2000,631140.0,550620.0
Colombia,2005,717120.0,652260.0
Colombia,2010,511380.0,469320.0
Colombia,2015,840540.0,762960.0
Colombia,2019,846000.0,820320.0
Ethiopia,1990,174540.0,64440.0
Ethiopia,1995,189900.0,76560.0
Ethiopia,2000,186900.0,118920.0
Ethiopia,2005,286740.0,146100.0
Ethiopia,2010,333600.0,199440.0
Ethiopia,2015,390900.0,179100.0
Ethiopia,2019,440580.0,235260.0
Guatemala,1990,196260.0,194400.0
Guatemala,1995,240120.0,222060.0
Guatemala,2000,296400.0,291120.0
Guatemala,2005,220560.0,207960.0
Guatemala,2010,237000.0,208080.0
Guatemala,2015,204600.0,177660.0
Guatemala,2019,216360.0,216780.0
Honduras,1990,94080.0,104100.0
Honduras,1995,114540.0,107760.0
Honduras,2000,160020.0,172740.0
Honduras,2005,192240.0,143520.0
Honduras,2010,259860.0,200940.0
Honduras,2015,347160.0,301800.0
Honduras,2019,355860.0,405900.0
India,1990,169740.0,118740.0
India,1995,240720.0,148020.0
India,2000,301200.0,253740.0
India,2005,273960.0,169740.0
India,2010,336000.0,278820.0
India,2015,349800.0,315720.0
India,2019,299280.0,361680.0
Indonesia,1990,446460.0,414180.0
Indonesia,1995,274380.0,236820.0
Indonesia,2000,419220.0,321480.0
Indonesia,2005,549540.0,404640.0
Indonesia,2010,547740.0,329340.0
Indonesia,2015,755100.0,502740.0
Indonesia,2019,685980.0,380040.0
Mexico,1990,280440.0,220980.0
Mexico,1995,318000.0,217560.0
Mexico,2000,288900.0,318240.0
Mexico,2005,253500.0,119100.0
Mexico,2010,240060.0,149880.0
Mexico,2015,166320.0,147480.0
Mexico,2019,239100.0,157620.0
Uganda,1990,117300.0,141180.0
Uganda,1995,194640.0,184740.0
Uganda,2000,204060.0,150780.0
Uganda,2005,130500.0,142140.0
Uganda,2010,196020.0,159420.0
Uganda,2015,219000.0,215760.0
Uganda,2019,330540.0,271560.0
Vietnam,1990,78600.0,68700.0
Vietnam,1995,238200.0,212760.0
Vietnam,2000,890460.0,697080.0
Vietnam,2005,830520.0,805920.0
Vietnam,2010,1200000.0,853740.0
Vietnam,2015,1865400.0,1316640.0
Vietnam,2019,1829220.0,1644000.0
