Country,Coffee_type,Year,Production_tonnes
Angola,Mixed,1990,3000.0
Bolivia (Plurinational State of),Arabica,1990,7380.0
Brazil,Mixed,1990,1637160.0
Burundi,Mixed,1990,29220.0
Ecuador,Mixed,1990,90240.0
Indonesia,Mixed,1990,446460.0
Madagascar,Robusta,1990,58920.0
Malawi,Arabica,1990,6300.0
Papua New Guinea,Mixed,1990,57780.0
Paraguay,Arabica,1990,7860.0
Peru,Arabica,1990,56220.0
Rwanda,Arabica,1990,32100.0
Zimbabwe,Arabica,1990,15120.0
Congo,Robusta,1990,180.0
Cuba,Arabica,1990,24840.0
Dominican Republic,Mixed,1990,52800.0
Haiti,Arabica,1990,23580.0
Philippines,Mixed,1990,58440.0
Tanzania,Mixed,1990,55920.0
Zambia,Arabica,1990,1380.0
Cameroon,Mixed,1990,100920.0
Central African Republic,Robusta,1990,10500.0
Colombia,Arabica,1990,863760.0
Costa Rica,Arabica,1990,153720.0
Côte d'Ivoire,Robusta,1990,176400.0
Democratic Republic of Congo,Mixed,1990,94800.0
El Salvador,Arabica,1990,147900.0
Equatorial Guinea,Robusta,1990,240.0
Ethiopia,Arabica,1990,174540.0
Gabon,Robusta,1990,180.0
Ghana,Robusta,1990,2280.0
Guatemala,Mixed,1990,196260.0
Guinea,Robusta,1990,2640.0
Honduras,Arabica,1990,94080.0
India,Mixed,1990,169740.0
Jamaica,Arabica,1990,1380.0
Kenya,Arabica,1990,89100.0
Liberia,Robusta,1990,180.0
Mexico,Mixed,1990,280440.0
Nicaragua,Arabica,1990,27660.0
Nigeria,Robusta,1990,1740.0
Panama,Arabica,1990,12900.0
Sierra Leone,Robusta,1990,2580.0
Sri Lanka,Mixed,1990,5760.0
Thailand,Mixed,1990,45420.0
Togo,Robusta,1990,9660.0
Trinidad & Tobago,Robusta,1990,900.0
Uganda,Mixed,1990,117300.0
Venezuela,Arabica,1990,67320.0
Viet Nam,Mixed,1990,78600.0
Angola,Mixed,1991,4740.0
Bolivia (Plurinational State of),Arabica,1991,6240.0
Brazil,Mixed,1991,1637580.0
Burundi,Mixed,1991,40020.0
Ecuador,Mixed,1991,127440.0
Indonesia,Mixed,1991,509580.0
Madagascar,Robusta,1991,55980.0
Malawi,Arabica,1991,7440.0
Papua New Guinea,Mixed,1991,44820.0
Paraguay,Arabica,1991,4800.0
Peru,Arabica,1991,72000.0
Rwanda,Arabica,1991,29040.0
Zimbabwe,Arabica,1991,12060.0
Congo,Robusta,1991,180.0
Cuba,Arabica,1991,18120.0
Dominican Republic,Mixed,1991,19260.0
Haiti,Arabica,1991,27780.0
Philippines,Mixed,1991,61080.0
Tanzania,Mixed,1991,47400.0
Zambia,Arabica,1991,1740.0
Cameroon,Mixed,1991,103560.0
Central African Republic,Robusta,1991,7500.0
Colombia,Arabica,1991,1078800.0
Costa Rica,Arabica,1991,165600.0
Côte d'Ivoire,Robusta,1991,247740.0
Democratic Republic of Congo,Mixed,1991,73800.0
El Salvador,Arabica,1991,131880.0
Equatorial Guinea,Robusta,1991,180.0
Ethiopia,Arabica,1991,175500.0
Gabon,Robusta,1991,120.0
Ghana,Robusta,1991,4560.0
Guatemala,Mixed,1991,209820.0
Guinea,Robusta,1991,5460.0
Honduras,Arabica,1991,139320.0
India,Mixed,1991,180000.0
Jamaica,Arabica,1991,2340.0
Kenya,Arabica,1991,90840.0
Liberia,Robusta,1991,180.0
Mexico,Mixed,1991,283620.0
Nicaragua,Arabica,1991,42420.0
Nigeria,Robusta,1991,2640.0
Panama,Arabica,1991,11580.0
Sierra Leone,Robusta,1991,3240.0
Sri Lanka,Mixed,1991,4920.0
Thailand,Mixed,1991,88140.0
Togo,Robusta,1991,25980.0
Trinidad & Tobago,Robusta,1991,1080.0
Uganda,Mixed,1991,125280.0
Venezuela,Arabica,1991,56460.0
Viet Nam,Mixed,1991,86280.0
Angola,Mixed,1992,4680.0
Bolivia (Plurinational State of),Arabica,1992,7200.0
Brazil,Mixed,1992,2076180.0
Burundi,Mixed,1992,37200.0
Ecuador,Mixed,1992,71100.0
Indonesia,Mixed,1992,334140.0
Madagascar,Robusta,1992,67320.0
Malawi,Arabica,1992,8220.0
Papua New Guinea,Mixed,1992,54000.0
Paraguay,Arabica,1992,3240.0
Peru,Arabica,1992,105720.0
Rwanda,Arabica,1992,38340.0
Zimbabwe,Arabica,1992,4680.0
Congo,Robusta,1992,180.0
Cuba,Arabica,1992,17040.0
Dominican Republic,Mixed,1992,38280.0
Haiti,Arabica,1992,30000.0
Philippines,Mixed,1992,55200.0
Tanzania,Mixed,1992,47160.0
Zambia,Arabica,1992,1740.0
Cameroon,Mixed,1992,15600.0
Central African Republic,Robusta,1992,8040.0
Colombia,Arabica,1992,896820.0
Costa Rica,Arabica,1992,179880.0
Côte d'Ivoire,Robusta,1992,134760.0
Democratic Republic of Congo,Mixed,1992,70800.0
El Salvador,Arabica,1992,180060.0
Equatorial Guinea,Robusta,1992,120.0
Ethiopia,Arabica,1992,109500.0
Gabon,Robusta,1992,180.0
Ghana,Robusta,1992,2220.0
Guatemala,Mixed,1992,259080.0
Guinea,Robusta,1992,4560.0
Honduras,Arabica,1992,115080.0
India,Mixed,1992,169380.0
Jamaica,Arabica,1992,1560.0
Kenya,Arabica,1992,78960.0
Liberia,Robusta,1992,180.0
Mexico,Mixed,1992,204060.0
Nicaragua,Arabica,1992,32820.0
Nigeria,Robusta,1992,2940.0
Panama,Arabica,1992,11820.0
Sierra Leone,Robusta,1992,2340.0
Sri Lanka,Mixed,1992,3180.0
Thailand,Mixed,1992,75300.0
Togo,Robusta,1992,5160.0
Trinidad & Tobago,Robusta,1992,840.0
Uganda,Mixed,1992,131100.0
Venezuela,Arabica,1992,72900.0
Viet Nam,Mixed,1992,140400.0
Angola,Mixed,1993,1980.0
Bolivia (Plurinational State of),Arabica,1993,3060.0
Brazil,Mixed,1993,1690020.0
Burundi,Mixed,1993,23580.0
Ecuador,Mixed,1993,124140.0
Indonesia,Mixed,1993,404580.0
Madagascar,Robusta,1993,26520.0
Malawi,Arabica,1993,3720.0
Papua New Guinea,Mixed,1993,61140.0
Paraguay,Arabica,1993,4020.0
Peru,Arabica,1993,39900.0
Rwanda,Arabica,1993,26640.0
Zimbabwe,Arabica,1993,720.0
Congo,Robusta,1993,180.0
Cuba,Arabica,1993,17100.0
Dominican Republic,Mixed,1993,36240.0
Haiti,Arabica,1993,27060.0
Philippines,Mixed,1993,52500.0
Tanzania,Mixed,1993,44040.0
Zambia,Arabica,1993,1620.0
Cameroon,Mixed,1993,40980.0
Central African Republic,Robusta,1993,9960.0
Colombia,Arabica,1993,685320.0
Costa Rica,Arabica,1993,141540.0
Côte d'Ivoire,Robusta,1993,137580.0
Democratic Republic of Congo,Mixed,1993,58800.0
El Salvador,Arabica,1993,142680.0
Ethiopia,Arabica,1993,178020.0
Gabon,Robusta,1993,180.0
Ghana,Robusta,1993,2700.0
Guatemala,Mixed,1993,212160.0
Guinea,Robusta,1993,3840.0
Honduras,Arabica,1993,109740.0
India,Mixed,1993,211980.0
Jamaica,Arabica,1993,2040.0
Kenya,Arabica,1993,79680.0
Liberia,Robusta,1993,300.0
Mexico,Mixed,1993,301380.0
Nicaragua,Arabica,1993,42360.0
Nigeria,Robusta,1993,2700.0
Panama,Arabica,1993,8520.0
Sierra Leone,Robusta,1993,2220.0
Sri Lanka,Mixed,1993,3240.0
Thailand,Mixed,1993,76500.0
Togo,Robusta,1993,11700.0
Trinidad & Tobago,Robusta,1993,960.0
Uganda,Mixed,1993,188520.0
Venezuela,Arabica,1993,79980.0
Viet Nam,Mixed,1993,181200.0
Angola,Mixed,1994,4620.0
Bolivia (Plurinational State of),Arabica,1994,7020.0
Brazil,Mixed,1994,1691520.0
Burundi,Mixed,1994,39840.0
Ecuador,Mixed,1994,142560.0
Indonesia,Mixed,1994,322080.0
Madagascar,Robusta,1994,38460.0
Malawi,Arabica,1994,5040.0
Papua New Guinea,Mixed,1994,68340.0
Paraguay,Arabica,1994,1500.0
Peru,Arabica,1994,70740.0
Rwanda,Arabica,1994,1320.0
Zimbabwe,Arabica,1994,6360.0
Congo,Robusta,1994,480.0
Cuba,Arabica,1994,17040.0
Dominican Republic,Mixed,1994,43800.0
Haiti,Arabica,1994,27000.0
Philippines,Mixed,1994,52620.0
Tanzania,Mixed,1994,40740.0
Zambia,Arabica,1994,1260.0
Cameroon,Mixed,1994,24360.0
Central African Republic,Robusta,1994,15000.0
Colombia,Arabica,1994,777840.0
Costa Rica,Arabica,1994,148920.0
